no,text
42,http dispatcher thread leak . there is a leak of http message dispatcher threads . steps to reproduce : 1 ) copy hello example app to < mule_home > apps folder 2 ) start mule 3 ) send a request : http : //localhost:8888/ ? name=ross 4 ) remove the hello example app 's anchor file and wait for the app to be undeployed 5 ) obtain a thread dump of the mule process expected result : no hello app related threads are in the list of live threads actual result : there are two : a ) one named xxx.processing.time.monitor which is related to mule-5276 b ) one named http-request-dispatch-xxx ( which is only created if previous point 3 is executed ) the number of b ) threads is increased every time you repeat the deploy/exercise/undeploy steps note : http-request-dispatch-xxx should be named using the name of the application   ie something like hello-http-request-dispatch-xxx
43,processorchain and subflows are intercepting when they should n't . currently processorchain and sublflows are intercepting this affects debugger because notifications are generated wrong .
44,chaining more than one http outbound endpoint will use the http method of the first one . if i have a config file as follows : { code } < flow ... > ... < http : outbound-endpoint method= '' get '' ... / > < http : outbound-endpoint method= '' post '' ... / > < http : outbound-endpoint method= '' get '' ... / > ... < /flow > { code } the second outbound-endpoint will always do a get because if the input payload is of type httpmethod   then it takes the value from there .
45,upgrade cxf to 2.5.9 . we should upgrade cxf to get the latest security patches .
46,nullpointerexception during jms reconnect attempt . if you configure an xa enabled connector to a jms broker and the jms broker goes down   the following exception get thrown : { code } debug 2013-02-19 10:34:55 584 [ muleserver.2 ] org.mule.retry.notifiers.connectnotifier : java.lang.nullpointerexception at org.mule.transport.abstractpollingmessagereceiver.schedule ( abstractpollingmessagereceiver.java:97 ) at org.mule.transport.abstractpollingmessagereceiver.dostart ( abstractpollingmessagereceiver.java:62 ) at org.mule.transport.transactedpollingmessagereceiver.dostart ( transactedpollingmessagereceiver.java:102 ) at org.mule.transport.abstracttransportmessagehandler $ 3.ontransition ( abstracttransportmessagehandler.java:316 ) at org.mule.lifecycle.abstractlifecyclemanager.invokephase ( abstractlifecyclemanager.java:141 ) at org.mule.transport.connectablelifecyclemanager.firestartphase ( connectablelifecyclemanager.java:51 ) at org.mule.transport.abstracttransportmessagehandler.start ( abstracttransportmessagehandler.java:312 ) at org.mule.transport.abstractconnector $ 5.dowork ( abstractconnector.java:1579 ) at org.mule.retry.policies.abstractpolicytemplate.execute ( abstractpolicytemplate.java:67 ) at com.mulesoft.mule.retry.async.retryworker.run ( retryworker.java:74 ) at org.mule.work.workercontext.run ( workercontext.java:310 ) at edu.emory.mathcs.backport.java.util.concurrent.threadpoolexecutor.runworker ( threadpoolexecutor.java:1061 ) at edu.emory.mathcs.backport.java.util.concurrent.threadpoolexecutor $ worker.run ( threadpoolexecutor.java:575 ) at java.lang.thread.run ( thread.java:662 ) { code } step to reproduce : * run the attached config * tear down the activemq broker and start it again
47,allow mel expressions in cxf : property of cxf : ws-config . it would be nice to be able to use mel expressions for the values of properties in the ws-config so we can set properties based upon the message being processed .
48,write initial draft of shared ports spec . we are having a number of critical users requests for being able to deploy multiple apps on the same mule instance using the same ip/port endpoint . this story is to do some analysis to identify the possible solutions for addressing this problem space .
49,thread leak on mule redeployments for embedded . when mule is running embedded in a container   after redeploying an application   there is a thread which still lives from the previous deployment and gets created again with the new one : mule.log.slf4j.ref.handler . steps to reproduce : 1. deploy a mule embedded app in tomcat ( bookstore-admin.war from the examples   for instance ) . 2. check the thread count and look for the mentioned thread 3. re-deploy the app 4. check the thread count   it should have gone up by 1 and there should be 2 threads called mule.log.slf4j.ref.handler
50,fix flaky unit test : datetimetestcase . datetimetestcase has many test that are flaky because they depend on the current system time . for example : { code } @ test public void seconds ( ) { assertequals ( calendar.getinstance ( timezone.gettimezone ( `` utc '' ) ) .get ( calendar.second )   now.getseconds ( ) ) ; } { code } problem is that there are two different calls to obtain the current second   so they could obtain different values from time to time . same problem exist in many tests   but as they are checking for minutes   hours   days   weeks   etc they less probable to fail   but they are still flaky in theory .
51,cxf_operation is wrong when using proxy-client of a soap 1.1 request . when processing a soap 1.1 request   the org.apache.cxf.binding.soap.interceptor.soapactionininterceptor looks for the soap action in soapmessage.get ( message.protocol_headers ) .get ( soapbindingconstants.soap_action ) . if mule does n't set this beforehand   cxf does n't find it . this is a problem because the soapactionininterceptor will then fail to set the bindingoperationinfo for the request and thus the staxdatabindinginterceptor will not know which bindingoperationinfo to use so it just picks the first one of its list ( which is probably wrong ! ) and bam ! we 're executing the wrong operation . processing soap 1.2 requests ( which is much more prevalent ) does n't have this problem .
52,applications deleted when deployment fails . when mule starts and a application fails to deploy   both zip and app 's folder are deleted . to reproduce : copy the attached app to the apps folder and start mule . after the app is deployed with failure the app zip and folder should be deleted after some seconds ( 5 by default ) .
53,move oauth from devkit to esb . * move generated devkit code to esb and expose an interface that devkit can use * improve user experience when trying to configure an oauth connector http : //corp.wiki.mulesource.com/display/wp/making+oauth+user+experience+smoother
54,connector auto-paging . see here : http : //corp.wiki.mulesource.com/pages/viewpage.action ? pageid=27132117 this will require some in-iteration investigation .
55,define polling watermarks . right now   when a poll needs to deal with updated objects   we use watermarks as an approach to filter out elements that were already processed . the only way to do that right now is to implement the logic manually which forces the user to deal with object stores   default values   repeated logic   dev time dependencies   etc . this story is a container of all the features required for watermark
56,define filter   split   aggregate and route record level data strategy . basic requirements : http : //corp.wiki.mulesource.com/pages/viewpage.action ? pageid=27132117
57,replytodestination is not properly configured in some scenarios . replytoparameterprocessor which is used to move the replytodestination info from the message to the event is not always invoked before other processing occurs . this causes that the message processed inside the flow is not sent back to the client .
58,default object store for until-successful . until-successful needs to be configured with an objectstore by default so it works out of the box very easily .
59,filename-wildcard filter to fails with sftp . mule-6743 modified the scope of originalfilename property : originally it was stored in the outbound scope   but it was changed to inbound . filename wildcard filter was also changed to read that property from the inbound scope . however the sftp transport is still storing the property in the outbound scope   making the filter to work incorrectly ( not processing file that should be processed ) . after the mentioned changes   file transport is storing the property in inbound and outbound   ftp is storing it in inbound   and sftp is doing it only in outbound .
60,watermark / binding object store items to flow variables . h1 . watermarking right now   when a poll needs to deal with updated objects   we use watermarks as an approach to filter out elements that were already processed . watermarks require a value to be persisted across flow invocations . typically   this value will have a default the first time used   and will be used as part of a query or outbound request . based on how the flow processes the results   the value may be updated . this can be done using several steps : - fetch a value form a persistent object store and save it as a flow variable - refer to the flow variable when doing a query / outbound request - update the variable based ( either once - i.e . the watermark is the date of the query   or per record - i.e . the watermark is the highest id from an object ) - at the end of the processing   persist the value to the persistent object store this pattern is very common in synchronisation flows . enough common to deserve better support . to make this easier out of the box we will add a new optional parameter to < poll > that will provide the watermarking variable persistence out of the box . watermark example : { code : xml } < flow name= '' pollsalesforce '' > < poll frequency= '' 10m '' > < watermark key= '' lastmodifieddate '' default-expression= '' # [ lastyear ( ) ] '' object-store-ref= '' myos '' / > < sfdc : search query= '' select id   name from account where lastmodifieddate > = # [ flowvars [ 'lastmodifieddate ' ] ] '' / > < foreach > < set-variable name= '' accountlastmodified '' value= '' max ( payload [ 'lastmodifieddate ' ] ]   flowvars [ 'accountlastmodified ' ] ) '' / > < /foreach > ..... < /flow > { code } h2 . watermark properties * variable ( required ) : this attribute signals both the object store key that will be used to store this watermark as also the name of the flowvar in which its value will be exposed to the user . * default-expression ( required ) : in case that the key above ca n't be found on the object store   the default expression is used to generate a value . this is useful for the first run of the flow * update-expression ( optional ) : the result of this expression will be used to update the watermark once the execution is finished . it defaults to the value of the variable parameter . * objectstore-ref ( optional ) : a reference to the object store you wish to use to store the watermarks . if not provided   the default user object store will be used h2 . watermark behaviour * it is bound to the poll * it is bound to synchronous flows only . if not then it execution must fail * when executed   it goes to the configured object store looking for a value of the given key . if found   that value is exposed through a flowvar using the same key . * if no value is found for that key in the object store   then the default-expression is executed and that value is exposed through the flowvar . * watermark will also fire a notification interceptable by the event tracking module . the underlaying tracking event will be enriched with the watermark value . * the message processors will be executed . * if the flow was correctly executed   then the watermark will be updated . * after updating the object store   another notification is fired to the event tracking system so that the new value can also be recorded there * if the intercepted processors throw any exceptions   then the watermark will not be updated . since the watermark is stored in the object store   the user can always use a exception strategy to put a custom value in case of failure . * in case the watermark value is not serializable then fail the store of the watermark in the object store
